contreg,eixox,eixoy,eixoz,gps_fix,gps_speed,gps_direction,gps_alt,gps_rtc
0,-1.7960528044386e-07,-6.4381913406763e-08,-9.8100001920853,3,0.00092569270711461,0,0,00000000000.00
1,-9.8953021628436e-08,-4.6566126519002e-07,-4.7974817038779,3,2.4043529327349,0,0,00000000000.05
2,-0.14130117107987,-0.51220212958538,-1.4496542756144,3,3.5309260668067,0,0,00000000000.10
3,-0.23977279804795,-0.78773756728078,-3.6006051268141,3,2.9499750760666,0,0,00000000000.15
4,-0.26109039241857,-0.57840676326422,-13.193276084161,3,1.1953034725319,0,0,00000000000.20
5,0.0062984992574158,1.1455660607443,-19.642493685924,3,0.60991160151814,0,0,00000000000.25
6,0.11633952992659,1.6405512963719,-19.450563013573,3,1.5980584408466,0,0,00000000000.30
7,0.47588183146904,1.3593605772337,-15.334596129074,3,1.6787380564378,0,0,00000000000.35
8,0.43314847551233,0.72294900950939,-10.190541371966,3,1.080224968021,0,0,00000000000.40
9,0.23417325043787,-0.00244010004514,-6.4356151705455,3,0.2763174875502,0,0,00000000000.45
10,-0.083953676599415,-0.19483871240004,-5.131933128714,3,0.47954106442519,0,0,00000000000.50
11,-0.33592503901368,-0.31179455956302,-6.0147640232435,3,0.77435222937463,0,0,00000000000.55
12,-0.33189712727745,0.10037881543923,-8.1182435024246,3,0.70171026195512,0,0,00000000000.60
13,-0.49806430432826,0.1965125754735,-10.207276306515,3,0.39563192468558,0,0,00000000000.65
14,-0.017518187710384,0.44047242499507,-11.506603484194,3,0.062837808681115,0,0,00000000000.70
15,-0.085739196513128,0.49356316433128,-11.708055066773,3,0.2097082439574,0,0,00000000000.75
16,0.11920752310699,0.53104033965333,-11.195221384097,3,0.31737240324201,0,0,00000000000.80
17,-0.023214545569902,0.25064921911516,-10.405187932155,3,0.2901063730872,0,0,00000000000.85
18,-0.03856400688713,0.23443696023311,-9.6560702729415,3,0.18641607435102,0,0,00000000000.90
19,-0.13062956820977,0.10522591992838,-9.2246779515794,3,0.058957372626035,0,0,00000000000.95
20,-0.19695245074613,0.31027990898651,-9.0671195998573,3,0.070871047848594,0,0,00000000001.00
21,-0.075939391566991,0.24335546485509,-9.1783716640464,3,0.13512024543535,0,0,00000000001.05
22,-0.051218304474947,0.23955191453719,-9.4190505516049,3,0.14917149073767,0,0,00000000001.10
23,-0.19128902023124,0.32836086652577,-9.7237615884171,3,0.11089041127322,0,0,00000000001.15
24,0.037471609214738,0.37047809442097,-10.024259322102,3,0.049962416850394,0,0,00000000001.20
25,-0.12626782100214,0.12846275903135,-10.146487022312,3,0.029930627066905,0,0,00000000001.25
26,-0.050348714804012,0.25229279965448,-10.240880286056,3,0.077853096290303,0,0,00000000001.30
27,-0.052851291220481,0.25229355635404,-10.072357474183,3,0.081475516570806,0,0,00000000001.35
28,-0.056333597111038,0.25007869675382,-9.8281842644909,3,0.061438325497839,0,0,00000000001.40
29,-0.05810963645243,0.24819611557014,-9.693544828919,3,0.025918376594766,0,0,00000000001.45
30,-0.061707742840895,0.24807350113825,-9.6107139343895,3,0.010543544197865,0,0,00000000001.50
31,-0.062916126548105,0.2486633484421,-9.6043977049885,3,0.035908393972711,0,0,00000000001.55
32,-0.06182743961392,0.25001126318185,-9.6665718657941,3,0.044508126538278,0,0,00000000001.60
33,-0.059372538907454,0.25155725858228,-9.7581311150783,3,0.038664955830621,0,0,00000000001.65
34,-0.057003741879304,0.25255386100128,-9.8460777642671,3,0.018555736577694,0,0,00000000001.70
35,-0.055947873150379,0.25285956762187,-9.9164820222737,3,0.0094720195359054,0,0,00000000001.75
36,-0.056136465962781,0.25240516953854,-9.9401506530608,3,0.024360369419188,0,0,00000000001.80
37,-0.05680577763394,0.25148382962153,-9.9001019216094,3,0.029669471407816,0,0,00000000001.85
38,0.015928682085487,0.37724656822199,-9.8257712078147,3,0.015985155479752,0,0,00000000001.90
39,-0.13159192997386,0.12280855443027,-9.7468732883311,3,0.007879451622278,0,0,00000000001.95
40,-0.059392627825472,0.24969382771814,-9.7606568617807,3,0.005681996995923,0,0,00000000002.00
41,-0.059300339583478,0.24934379596586,-9.7322403487337,3,0.012365616770476,0,0,00000000002.05
42,-0.059304894332728,0.25010427901957,-9.7694252634042,3,0.017876027513917,0,0,00000000002.10
43,-0.058740840297395,0.25006900517874,-9.7782067035432,3,0.006324812458967,0,0,00000000002.15
44,-0.059212998992425,0.25121266924604,-9.8709012349919,3,0.0033285633092258,0,0,00000000002.20
45,-0.058103495544495,0.25114727294211,-9.8468684570954,3,0.0044202846720549,0,0,00000000002.25
46,-0.057229867717276,0.25136622104824,-9.8247393024511,3,0.0035278952524995,0,0,00000000002.30
47,-0.057038375435903,0.25096645085207,-9.7955544483165,3,0.0086811873533473,0,0,00000000002.35
48,-0.058252769083817,0.25110722607331,-9.8358062080796,3,0.0031182891914583,0,0,00000000002.40
